时间段,省份,城市,月份,最大温度,最小温度,降水量
1981年-2010年,北京市,北京,1,1.8,-7.3,2.8
1981年-2010年,北京市,北京,2,6.2,-4.1,4.4
1981年-2010年,北京市,北京,3,12.8,1.8,9.9
1981年-2010年,北京市,北京,4,20.6,8.9,23.7
1981年-2010年,北京市,北京,5,27,15,37.6
1981年-2010年,北京市,北京,6,30.7,19.9,70.5
1981年-2010年,北京市,北京,7,32.1,23.1,159.6
1981年-2010年,北京市,北京,8,30.6,21.8,139.4
1981年-2010年,北京市,北京,9,26.6,16.3,48.7
1981年-2010年,北京市,北京,10,19.4,8.9,23.9
1981年-2010年,北京市,北京,11,10.2,0.6,9.6
1981年-2010年,北京市,北京,12,3.5,-5.1,2
1981年-2010年,北京市,昌平,1,1.9,-8.2,2.5
1981年-2010年,北京市,昌平,2,5.7,-5.3,4.2
1981年-2010年,北京市,昌平,3,12.2,0.4,9.6
1981年-2010年,北京市,昌平,4,20.8,8.1,17.7
1981年-2010年,北京市,昌平,5,26.8,14,35
1981年-2010年,北京市,昌平,6,30.4,18.8,73.6
1981年-2010年,北京市,昌平,7,31.2,21.8,162.3
1981年-2010年,北京市,昌平,8,30.1,20.6,124.3
1981年-2010年,北京市,昌平,9,26,14.8,47.7
1981年-2010年,北京市,昌平,10,19.2,7.8,19.7
1981年-2010年,北京市,昌平,11,10.2,-0.2,8.2
1981年-2010年,北京市,昌平,12,3.6,-5.7,2.2
1981年-2010年,北京市,朝阳,1,2,-8.4,2.7
1981年-2010年,北京市,朝阳,2,5.8,-5.5,3.8
1981年-2010年,北京市,朝阳,3,12.3,0.4,9.4
1981年-2010年,北京市,朝阳,4,20.7,7.7,22.9
1981年-2010年,北京市,朝阳,5,26.6,13.6,36.8
1981年-2010年,北京市,朝阳,6,30.3,18.6,76.1
1981年-2010年,北京市,朝阳,7,31.1,21.8,164.6
1981年-2010年,北京市,朝阳,8,30,20.7,156.9
1981年-2010年,北京市,朝阳,9,26.1,14.8,50.5
1981年-2010年,北京市,朝阳,10,19.4,7.3,24.4
1981年-2010年,北京市,朝阳,11,10.3,-0.7,9.4
1981年-2010年,北京市,朝阳,12,3.8,-6,1.7
1981年-2010年,北京市,大兴,1,2,-8.5,2.4
1981年-2010年,北京市,大兴,2,5.8,-5.3,4
1981年-2010年,北京市,大兴,3,12.3,0.7,10
1981年-2010年,北京市,大兴,4,20.8,8.1,22.5
1981年-2010年,北京市,大兴,5,26.6,14,37.7
1981年-2010年,北京市,大兴,6,30.5,18.9,68.8
1981年-2010年,北京市,大兴,7,31.2,22,154.4
1981年-2010年,北京市,大兴,8,30,20.9,135.9
1981年-2010年,北京市,大兴,9,26.2,15,46.7
1981年-2010年,北京市,大兴,10,19.5,7.7,25.5
1981年-2010年,北京市,大兴,11,10.3,-0.4,9.9
1981年-2010年,北京市,大兴,12,3.7,-6,1.7
1981年-2010年,北京市,房山,1,2,-9.4,2
1981年-2010年,北京市,房山,2,5.8,-5.7,3.6
1981年-2010年,北京市,房山,3,12.3,0.5,10.1
1981年-2010年,北京市,房山,4,20.6,8.1,23.5
1981年-2010年,北京市,房山,5,26.4,13.9,40.9
1981年-2010年,北京市,房山,6,30.3,18.9,71.3
1981年-2010年,北京市,房山,7,31,21.9,167.5
1981年-2010年,北京市,房山,8,29.8,20.6,135.9
1981年-2010年,北京市,房山,9,26,14.6,48.7
1981年-2010年,北京市,房山,10,19.4,7.4,25
1981年-2010年,北京市,房山,11,10.2,-0.8,8.8
1981年-2010年,北京市,房山,12,3.6,-6.8,1.9
1981年-2010年,北京市,丰台,1,2.2,-8.2,2.1
1981年-2010年,北京市,丰台,2,5.9,-5.1,3.8
1981年-2010年,北京市,丰台,3,12.4,0.8,10.2
1981年-2010年,北京市,丰台,4,20.9,8.3,22.7
1981年-2010年,北京市,丰台,5,26.9,14.3,36.3
1981年-2010年,北京市,丰台,6,30.6,19.2,76.6
1981年-2010年,北京市,丰台,7,31.3,22.1,169.7
1981年-2010年,北京市,丰台,8,30.3,21,137
1981年-2010年,北京市,丰台,9,26.3,15.1,46.2
1981年-2010年,北京市,丰台,10,19.5,7.6,22.5
1981年-2010年,北京市,丰台,11,10.4,-0.5,8.7
1981年-2010年,北京市,丰台,12,3.9,-6,1.6
1981年-2010年,北京市,海淀,1,2.1,-7.6,2.4
1981年-2010年,北京市,海淀,2,5.9,-4.6,4
1981年-2010年,北京市,海淀,3,12.4,1.2,10.3
1981年-2010年,北京市,海淀,4,20.9,8.6,23.5
1981年-2010年,北京市,海淀,5,27,14.6,37.6
1981年-2010年,北京市,海淀,6,30.5,19.5,75.9
1981年-2010年,北京市,海淀,7,31.4,22.3,171.5
1981年-2010年,北京市,海淀,8,30.5,21.2,146.9
1981年-2010年,北京市,海淀,9,26.3,15.5,50.4
1981年-2010年,北京市,海淀,10,19.5,8.2,23.4
1981年-2010年,北京市,海淀,11,10.5,0.1,9.4
1981年-2010年,北京市,海淀,12,3.9,-5.3,2
1981年-2010年,北京市,怀柔,1,1.2,-10.6,3.1
1981年-2010年,北京市,怀柔,2,5.8,-6.7,4.9
1981年-2010年,北京市,怀柔,3,12.5,-0.1,10.1
1981年-2010年,北京市,怀柔,4,20.4,7.5,19.2
1981年-2010年,北京市,怀柔,5,26.8,13.1,41
1981年-2010年,北京市,怀柔,6,30.3,18.2,76.2
1981年-2010年,北京市,怀柔,7,31.4,21.4,189.3
1981年-2010年,北京市,怀柔,8,30.1,20.1,172.8
1981年-2010年,北京市,怀柔,9,26.2,14.4,71.6
1981年-2010年,北京市,怀柔,10,19,6.8,23.2
1981年-2010年,北京市,怀柔,11,9.9,-1.4,8.7
1981年-2010年,北京市,怀柔,12,3.1,-7.9,2.5
1981年-2010年,北京市,门头沟,1,2.1,-8.1,2.4
1981年-2010年,北京市,门头沟,2,5.8,-5.1,3.9
1981年-2010年,北京市,门头沟,3,12.2,0.6,9.4
1981年-2010年,北京市,门头沟,4,20.5,8.1,22.1
1981年-2010年,北京市,门头沟,5,26.4,13.9,42
1981年-2010年,北京市,门头沟,6,30.2,18.8,84.5
1981年-2010年,北京市,门头沟,7,31,21.7,186.9
1981年-2010年,北京市,门头沟,8,29.8,20.4,137.5
1981年-2010年,北京市,门头沟,9,25.9,14.5,48.6
1981年-2010年,北京市,门头沟,10,19.3,7.6,20.1
1981年-2010年,北京市,门头沟,11,10.4,-0.3,8.8
1981年-2010年,北京市,门头沟,12,3.9,-5.9,1.9
1981年-2010年,北京市,密云,1,1.3,-11.3,2.4
1981年-2010年,北京市,密云,2,5.2,-7.8,3.8
1981年-2010年,北京市,密云,3,11.7,-1.4,9.4
1981年-2010年,北京市,密云,4,20.3,6.4,18.8
1981年-2010年,北京市,密云,5,26.1,12.5,42.2
1981年-2010年,北京市,密云,6,30.1,17.9,83.8
1981年-2010年,北京市,密云,7,30.8,21.3,189
1981年-2010年,北京市,密云,8,29.8,20.2,176.2
1981年-2010年,北京市,密云,9,25.9,14.1,64
1981年-2010年,北京市,密云,10,19.2,6.3,26.3
1981年-2010年,北京市,密云,11,9.9,-2.3,9.7
1981年-2010年,北京市,密云,12,3.1,-8.5,2.2
1981年-2010年,北京市,平谷,1,1.5,-10.9,2.6
1981年-2010年,北京市,平谷,2,5.3,-7.6,3.5
1981年-2010年,北京市,平谷,3,12,-0.8,9.3
1981年-2010年,北京市,平谷,4,20.4,7.1,21.1
1981年-2010年,北京市,平谷,5,25.9,13,43.2
1981年-2010年,北京市,平谷,6,30.1,18.2,90.3
1981年-2010年,北京市,平谷,7,31,21.5,189.5
1981年-2010年,北京市,平谷,8,30,20.3,164.1
1981年-2010年,北京市,平谷,9,26.1,14.1,59.8
1981年-2010年,北京市,平谷,10,19.3,6.8,27.3
1981年-2010年,北京市,平谷,11,9.9,-1.6,10.8
1981年-2010年,北京市,平谷,12,3.3,-8,2.6
1981年-2010年,北京市,石景山,1,2.1,-8,2.7
1981年-2010年,北京市,石景山,2,5.9,-4.9,4
1981年-2010年,北京市,石景山,3,12.4,0.9,9.8
1981年-2010年,北京市,石景山,4,20.9,8.5,23.1
1981年-2010年,北京市,石景山,5,26.9,14.3,39.9
1981年-2010年,北京市,石景山,6,30.5,19.1,77.5
1981年-2010年,北京市,石景山,7,31.3,22,169.1
1981年-2010年,北京市,石景山,8,30.2,20.8,131.6
1981年-2010年,北京市,石景山,9,26.2,15,49.8
1981年-2010年,北京市,石景山,10,19.4,7.6,21.8
1981年-2010年,北京市,石景山,11,10.5,-0.2,9.3
1981年-2010年,北京市,石景山,12,3.9,-5.6,2.2
1981年-2010年,北京市,顺义,1,1.6,-8.4,2.8
1981年-2010年,北京市,顺义,2,5.4,-5.4,3.9
1981年-2010年,北京市,顺义,3,12.1,0.6,9.8
1981年-2010年,北京市,顺义,4,20.6,8.3,20
1981年-2010年,北京市,顺义,5,26.5,14.2,36.5
1981年-2010年,北京市,顺义,6,30.4,19.2,71.7
1981年-2010年,北京市,顺义,7,31.2,22.2,177.1
1981年-2010年,北京市,顺义,8,30.1,21.1,155.9
1981年-2010年,北京市,顺义,9,26.1,15.4,56.9
1981年-2010年,北京市,顺义,10,19.3,8.1,24.8
1981年-2010年,北京市,顺义,11,10,-0.3,9.8
1981年-2010年,北京市,顺义,12,3.4,-5.8,2.1
1981年-2010年,北京市,通州,1,1.9,-6.3,2.4
1981年-2010年,北京市,通州,2,6.1,-3.2,3.6
1981年-2010年,北京市,通州,3,12.5,2.5,8.6
1981年-2010年,北京市,通州,4,20.6,9.8,22.2
1981年-2010年,北京市,通州,5,26.9,15.7,35.6
1981年-2010年,北京市,通州,6,30.6,20.5,79.7
1981年-2010年,北京市,通州,7,32,23.2,160
1981年-2010年,北京市,通州,8,30.6,22.1,134.8
1981年-2010年,北京市,通州,9,26.6,16.6,44.9
1981年-2010年,北京市,通州,10,19.3,9.6,23.5
1981年-2010年,北京市,通州,11,10.3,1.7,9.8
1981年-2010年,北京市,通州,12,3.6,-4.1,1.6
1981年-2010年,北京市,延庆,1,-1.1,-12.6,2
1981年-2010年,北京市,延庆,2,3.8,-8.6,3.3
1981年-2010年,北京市,延庆,3,10.3,-2.3,9.2
1981年-2010年,北京市,延庆,4,18.4,5.4,17.2
1981年-2010年,北京市,延庆,5,25.2,11.8,41.6
1981年-2010年,北京市,延庆,6,28.4,16.7,68.2
1981年-2010年,北京市,延庆,7,29.8,19.7,122.5
1981年-2010年,北京市,延庆,8,28.4,18.1,85.5
1981年-2010年,北京市,延庆,9,24.4,12.2,57
1981年-2010年,北京市,延庆,10,17.1,4.7,18.9
1981年-2010年,北京市,延庆,11,7.5,-3.6,7.5
1981年-2010年,北京市,延庆,12,0.1,-10.3,2.1
1981年-2010年,天津市,天津,1,2.4,-5.5,2.7
1981年-2010年,天津市,天津,2,6.4,-2.6,4.1
1981年-2010年,天津市,天津,3,12.6,3,9.3
1981年-2010年,天津市,天津,4,20.9,10.2,24.8
1981年-2010年,天津市,天津,5,26.8,16.1,39.5
1981年-2010年,天津市,天津,6,30.4,20.9,85
1981年-2010年,天津市,天津,7,31.7,23.8,132.1
1981年-2010年,天津市,天津,8,30.7,23,130.2
1981年-2010年,天津市,天津,9,26.9,17.8,48.2
1981年-2010年,天津市,天津,10,19.9,10.6,28.6
1981年-2010年,天津市,天津,11,10.8,2.4,11.5
1981年-2010年,天津市,天津,12,4,-3.3,2.9
1981年-2010年,天津市,宝坻,1,1.4,-10,2.9
1981年-2010年,天津市,宝坻,2,5.3,-6.6,3.5
1981年-2010年,天津市,宝坻,3,11.9,-0.5,8.6
1981年-2010年,天津市,宝坻,4,20.3,7.3,19.9
1981年-2010年,天津市,宝坻,5,26,13,35.3
1981年-2010年,天津市,宝坻,6,30.1,18.2,77.7
1981年-2010年,天津市,宝坻,7,31,21.7,174.4
1981年-2010年,天津市,宝坻,8,30,20.5,143
1981年-2010年,天津市,宝坻,9,26.3,14.4,50
1981年-2010年,天津市,宝坻,10,19.4,7.1,27.1
1981年-2010年,天津市,宝坻,11,9.8,-1.3,10.4
1981年-2010年,天津市,宝坻,12,3.2,-7.1,3.8
1981年-2010年,天津市,北辰,1,1.9,-8.4,3
1981年-2010年,天津市,北辰,2,6.1,-5,4.3
1981年-2010年,天津市,北辰,3,12.6,1.3,9.9
1981年-2010年,天津市,北辰,4,20.9,8.7,25.4
1981年-2010年,天津市,北辰,5,26.8,14.5,40.5
1981年-2010年,天津市,北辰,6,30.4,19.3,83.1
1981年-2010年,天津市,北辰,7,31.4,22.4,142.1
1981年-2010年,天津市,北辰,8,30.5,21.3,128.2
1981年-2010年,天津市,北辰,9,26.6,15.6,44.9
1981年-2010年,天津市,北辰,10,19.9,8,27.7
1981年-2010年,天津市,北辰,11,10.4,-0.3,12.6
1981年-2010年,天津市,北辰,12,3.5,-5.9,2.9
1981年-2010年,天津市,滨海新区,1,1,-6.3,3.2
1981年-2010年,天津市,滨海新区,2,4.3,-3.4,4.7
1981年-2010年,天津市,滨海新区,3,10.4,2.2,8.5
1981年-2010年,天津市,滨海新区,4,19,9.7,19.8
1981年-2010年,天津市,滨海新区,5,24.8,15.7,43.1
1981年-2010年,天津市,滨海新区,6,28.4,20.7,76
1981年-2010年,天津市,滨海新区,7,30.2,23.8,150.9
1981年-2010年,天津市,滨海新区,8,29.8,23.4,150.6
1981年-2010年,天津市,滨海新区,9,26,18.5,47.2
1981年-2010年,天津市,滨海新区,10,19.2,11.3,27.7
1981年-2010年,天津市,滨海新区,11,10.1,2.6,10
1981年-2010年,天津市,滨海新区,12,3.2,-3.8,3.7
1981年-2010年,天津市,大港,1,1.4,-7.6,2.7
1981年-2010年,天津市,大港,2,5,-4.4,4.8
1981年-2010年,天津市,大港,3,11,1.6,9.4
1981年-2010年,天津市,大港,4,19.6,9.1,20.7
1981年-2010年,天津市,大港,5,25.3,14.9,38.8
1981年-2010年,天津市,大港,6,28.8,20,72.7
1981年-2010年,天津市,大港,7,30.5,23.3,158.6
1981年-2010年,天津市,大港,8,29.8,22.5,121.5
1981年-2010年,天津市,大港,9,26.1,17.1,48.4
1981年-2010年,天津市,大港,10,19.2,9.7,31
1981年-2010年,天津市,大港,11,10.1,1,10.7
1981年-2010年,天津市,大港,12,3.5,-5,2.6
1981年-2010年,天津市,东丽,1,1.5,-7.5,3.1
1981年-2010年,天津市,东丽,2,5.2,-4.5,4.2
1981年-2010年,天津市,东丽,3,11.7,1.3,8.3
1981年-2010年,天津市,东丽,4,20.4,9,23.2
1981年-2010年,天津市,东丽,5,26.1,15,39.7
1981年-2010年,天津市,东丽,6,29.6,19.9,80.4
1981年-2010年,天津市,东丽,7,30.9,23,138.5
1981年-2010年,天津市,东丽,8,30.2,22.2,130.4
1981年-2010年,天津市,东丽,9,26.5,16.8,52.6
1981年-2010年,天津市,东丽,10,19.7,9.5,28.7
1981年-2010年,天津市,东丽,11,10.4,1.1,10.9
1981年-2010年,天津市,东丽,12,3.5,-4.8,3.5
1981年-2010年,天津市,汉沽,1,1,-9,3.4
1981年-2010年,天津市,汉沽,2,4.4,-5.6,4.1
1981年-2010年,天津市,汉沽,3,10.5,0.7,9.4
1981年-2010年,天津市,汉沽,4,19,8.5,20
1981年-2010年,天津市,汉沽,5,24.7,14.5,38.3
1981年-2010年,天津市,汉沽,6,28.2,19.5,71.9
1981年-2010年,天津市,汉沽,7,29.9,22.7,157.8
1981年-2010年,天津市,汉沽,8,29.6,21.9,137.6
